policy,replication,seed,avg_lead_time,avg_total_wait,reach_truck_utilization,throughput_orders_per_day,throughput_orders_per_hr,avg_op_queue_wait,avg_rt_queue_wait,avg_prep_time,p95_lead_time,avg_walk_distance,operator_utilization,kardex_utilization,orders_started,orders_completed,orders_total,orders_with_no_locations
Baseline (Heuristic),0,42,13.129337,8.895893,0.186884,328.205128,41.025641,8.889969,0.005925,4.239368,41.681115,102.613589,0.365125,0.065140,1656,1600,1655,0
Baseline (Heuristic),1,43,18.156556,13.864657,0.264412,459.692308,57.461538,13.859259,0.005398,4.297297,49.351155,107.827998,0.523912,0.089661,2353,2241,2340,0
Baseline (Heuristic),2,44,12.063422,7.790245,0.190150,341.948718,42.743590,7.786833,0.003412,4.276589,39.643654,105.985239,0.383788,0.073714,1741,1667,1741,0
Baseline (Heuristic),3,45,14.771812,10.281152,0.222223,357.128205,44.641026,10.275046,0.006106,4.496766,40.524374,108.165125,0.417291,0.072543,1784,1741,1783,0
Baseline (Heuristic),4,46,11.887828,7.299374,0.221376,348.512821,43.564103,7.293103,0.006272,4.594725,32.756306,110.614948,0.422881,0.075352,1792,1699,1790,0
Baseline (Heuristic),5,47,14.958480,10.699853,0.224542,387.897436,48.487179,10.697499,0.002354,4.260981,48.546142,105.066717,0.434162,0.074074,1942,1891,1941,0
Baseline (Heuristic),6,48,16.311998,11.965201,0.216548,382.153846,47.769231,11.958950,0.006252,4.353048,53.601102,106.716173,0.428141,0.078627,1894,1863,1892,0
Baseline (Heuristic),7,49,12.933837,8.562589,0.237914,415.179487,51.897436,8.558520,0.004069,4.375317,36.215452,107.720074,0.467543,0.083350,2102,2024,2060,0
Baseline (Heuristic),8,50,16.855472,12.498660,0.252263,425.846154,53.230769,12.494879,0.003780,4.360593,63.477756,106.069535,0.474913,0.077948,2114,2076,2091,0
Baseline (Heuristic),9,51,19.643444,15.359301,0.285008,496.000000,62.000000,15.356893,0.002408,4.286551,58.505401,103.004347,0.544862,0.101085,2443,2418,2442,0
Baseline (Heuristic),10,52,12.577506,8.385062,0.223235,405.743590,50.717949,8.382723,0.002339,4.194783,32.709019,103.624224,0.436334,0.076589,2029,1978,2009,0
Baseline (Heuristic),11,53,11.052825,6.768682,0.205149,364.923077,45.615385,6.766980,0.001702,4.285844,26.615052,105.174811,0.399076,0.066812,1789,1779,1789,0
Baseline (Heuristic),12,54,18.136595,13.804022,0.233155,406.153846,50.769231,13.802404,0.001617,4.334191,48.140934,107.171761,0.451058,0.073287,2002,1980,1998,0
Baseline (Heuristic),13,55,14.083951,9.691840,0.235231,396.923077,49.615385,9.688268,0.003572,4.395683,36.587053,108.019375,0.454715,0.078102,2041,1935,1987,0
Baseline (Heuristic),14,56,12.342784,8.125808,0.215959,392.820513,49.102564,8.122137,0.003671,4.220646,31.670996,106.047492,0.426242,0.070173,1946,1915,1942,0
Baseline (Heuristic),15,57,15.086698,10.883925,0.201224,368.410256,46.051282,10.881125,0.002800,4.205573,42.318921,105.309814,0.411518,0.079221,1883,1796,1883,0
Baseline (Heuristic),16,58,11.345432,7.200756,0.187238,360.410256,45.051282,7.199298,0.001458,4.146134,31.339844,104.640773,0.381977,0.068834,1770,1757,1768,0
Baseline (Heuristic),17,59,13.737204,9.339665,0.251170,425.025641,53.128205,9.334925,0.004740,4.402279,40.332758,106.320993,0.483823,0.087740,2113,2072,2112,0
Baseline (Heuristic),18,60,14.111435,9.807738,0.263974,461.538462,57.692308,9.804712,0.003026,4.306724,36.838774,106.043157,0.516799,0.096401,2430,2250,2305,0
Baseline (Heuristic),19,61,21.073359,16.856436,0.246022,443.076923,55.384615,16.852882,0.003554,4.220477,68.453529,105.406406,0.492632,0.082297,2228,2160,2228,0
Baseline (Actual SAP),0,42,11.228052,7.328695,0.178624,328.205128,41.025641,7.327116,0.001579,3.900936,32.739585,87.467800,0.334825,0.066373,1656,1600,1655,0
Baseline (Actual SAP),1,43,14.502706,10.623603,0.255069,459.692308,57.461538,10.621801,0.001802,3.880906,40.744136,88.464069,0.470655,0.087538,2353,2241,2336,0
