material_id,pick_count
03811061N0,1
03812736N0,4
03816491N0-N,1
03816495N0-N,1
03816496N0-N,3
04693096AA,2
1949754,3
1949765,3
1949773,2
1949801,1
1SNA167932R1500,2
25268014,3
25347326,3
3052077,3
3401405F0,8
3403910F0,5
3403913F0,5
3403914F0,1
3403929F0,1
3403933F0,4
3403939F0,2
3403941T0SN,2
3403966F0,2
3403979F0,6
3403981F0,11
3403982F0,1
3403984F0,2
3403985F0,3
3403986F0,1
3403988F0,3
3403989F0,1
3404000F0,10
3404004F0,18
3404006F0,21
3404012F0,4
3404044F0,1
3404046F0,2
3404075F0,1
3404076F0,4
3404079F0,3
3404082F0,3
3404083F0,7
3404097F0,5
3404098F0,1
3404100F0SN,3
3404102F0SN,4
3404142F0,1
3404186FBR07,3
3404190F0AG,1
3404190T0SN,3
3404249F0,9
3404251F0,8
3404258F0,7
3404270FBR07,5
3404272F0,1
3404308F0,2
3404312F0,3
3404354F0,2
3404355F0,1
3404356F0,10
3404361F0,10
3404362F0,1
3404438FBR07,4
3404440FBR07,2
3404462F0,4
3404463F0,5
3404464F0,6
3404467F0,4
3404468F0,1
3404470F0,6
3404473F0,4
3404474F0,3
3404708F0,3
3404709F0,5
3404717FBR07,4
3404718FBR07,4
3404719F0,2
3404721F0,1
3404725F0,1
3404733F0,1
3404734F0,1
3404790F0,3
3404791F0,2
3405054F0,23
3405054T0,6
3405064F0,4
3405064F0-K,16
3405075F0,3
3405190F0,2
3405193F0,1
3405195F0,1
3405241F0,1
3405273F0-K,3
3405294F0,1
3405310F0,2
3405311F0,1
3405338F0,1
3405375F0,1
3405387F0,1
3405389F0,1
3405392F0,5
3405397F0,1
3405398F0,1
3405420F0,4
3405544F0-K,10
3405583F0-K,2
3405584F0-K,2
3405585F0-K,7
3405599F0,33
3405811F0,7
3405812F0,2
3405813F0,6
3405936F0,14
3405966F0,1
3405966F0-KH,4
3405967F0,1
3405967F0-KH,1
3405968F0-KH,1
3406039F0,1
3406200F0,19
3406201F0,21
3406222F1,75
3406222F1-K,27
3406399F0,22
3406840F0,1
3406841F0,1
3407034F0,9
3407353F0,9
3407646F0,7
3407819F0,1
3407837F0,3
3407838F0,9
3407839F0,1
3408077T0,2
3408078T0,5
3408079T0,2
3408491FA,6
3408493FA,4
3408512FA,2
3408513FA,3
3409198F0,10
3409199F0,3
35190523,1
3727565,7
3727841,1
3728148,3
3728475,2
3730092J,1
3730303A,17
3730308B,1
3730311A,7
3730314B,2
3730317B,1
3730323A,4
3730340A,4
3730349A,4
3730350B,11
3730352B,5
3730356A,7
3730712,3
3731639,13
3731640,8
3731643,15
3735504,6
3735508,1
3735524,8
3735578,1
3735603,5
3735762,1
3736241,17
3736354,1
3736408,8
3736450SN,1
3931256S07,1
3931273,2
3931519,1
4690212,8
4690416,3
4690488,4
4690492,2
4690493,6
4690494,3
4690516,1
490NTW00005,1
490NTW00012,1
50437,4
50438,2
50439,1
50441,4
51000292A,3
51000434,1
51000496,2
51000504,1
51000505,6
51000596,1
51000646,1
51000691S07,3
51000703,2
5100070301,1
51000704,1
51000736,1
51000738,1
51000753,1
51000861,1
51000920,3
51000923EN,1
51000987SN,1
51006522M0,1
51108708M0,5
51164028F0,2
51164089F0,1
51164090F0,6
51164098F0,4
51164109F0,7
51164181F0,3
51164195F0,2
51164289F0,2
51164407F0,17
51164417F0,17
51164483F0,6
51164507F0,2
51164543F0,1
51229055F0,6
51229172F0,2
51235002F0,5
51235003F0,2
51235004F0,4
51235005F1,4
51235006F1,7
51235027F0,1
51235028F0,4
51235029F0,5
51235030F0,8
51235034F0,3
51235035F0,8
51235042F0,21
51235047F0,10
51235048F0,2
51235071F0,12
51235072F0,18
51235073F0,7
51235076F0,3
51235077F0,5
51235078F0,1
51235082F0,6
51235083F0,16
51235085F0,2
51235086F0,3
51235087F0,1
51235122F0,8
51235199F0,38
51235217F0,10
51235218F0,3
51235219F0,1
51235220F0,2
51235221F0,5
51235222F0,1
51235223F0,4
51235224F0,1
51235225F0,7
51235226F0,2
51235271F0,31
51235272F0,27
51235467F0,4
51235489F0-K,13
51235561F0,8
51235567F0,15
51235571F0,3
51235575F0,5
51235585F0-K,10
51235631F0,10
51235632F0,32
51235644F1-K,2
51235645F1-K,8
51235653F0,1
51235675F0-K,11
51235682F0,16
51235684F0,21
51235685F0,4
51235687F0,7
51235769F0-K,5
51235771F0,1
51235773F0,3
51235822F0-K,10
51235823F0-K,15
51235844F0-K,2
51235867F0,1
51235873F0,6
51235874F0,27
51235902F0,3
51235903F0,1
51235946F0-K,3
51235952F0,21
51236004F0,9
51236020F0-G,2
51236021F0-G,1
51236027F0,6
51236072FA,6
51236075FA,4
51236076FA,8
51236143F0,1
51236146F0,2
51236154F0,1
51236179F0,10
51236180F0,15
51236329F0,76
51236335F0,6
51236453F0,3
51236548F0-K,5
51236549F0-K,3
51236662F0,2
51236667F0,1
51236795F0,1
51236845F0R14,1
51236849F0,2
51237092F0,2
51237093F0,2
51237262F0,23
51237263F0,13
51237368F0,43
51237369F0,3
51237370F0,8
51237373F0,1
51237374F0,2
51237392FA,2
51237423F0,3
51237530FA,1
51254370EN,4
51254713F,1
51254778B,1
51254779B,2
51254780B,3
51254783B,1
51255589,1
51256257,1
51256260,4
51256264,6
51256273,4
51256278,1
51256308,4
51256344,2
51256487-05,4
51256520,3
51256526,3
51256532,8
51256593,6
51256643,24
51256645,14
51256677,1
51256685,4
51256882,12
51257038,1
51257090,1
51257091S07,2
51257131AG,1
51257137,3
51257138,2
51257144,1
51257157,5
51257165,17
51257172,1
51257180,5
51257181,1
51257200,1
51257210,20
51257249,5
51257250,1
51257287,33
51257289,13
51257455,1
51257457,8
51257458,6
51257459,6
51257472,1
51257475,1
51257490,3
51257692A,3
51257942,1
51257942SN,1
51257952,1
51305441F0,2
51310546F0,1
51310590F0,2
51310591F0,1
51310623F0,4
51310655F0,2
51310657F0,2
51310662F0,1
51310663F0,1
51310664F0,1
51310666F0,1
51310671F0SN,2
51310673F0,21
51310678F0,5
51310685F0,3
51310686F0,4
51310688FC,1
51310694F0,9
51310697F0,4
51310700F0,1
51310704F0R07,2
51310710F0,5
51310713F0,1
51310718F0,2
51310724F0,1
51310725F0,3
51310791F0,1
51310807F0,1
51310809T0SN,1
51310811F0,3
51310812F0,5
51310813F0,2
51310841F0,1
51310854F0,2
51310855F0,3
51310860FA,8
51310860FD,2
51310860FESN,5
51310861FESN,1
51310863FA,1
51310864FD,1
51310865FA,1
51310868FA,1
51310884F0,4
51310894F0,4
51310896F0,5
51310896F0SN,2
51310897F0,2
51310899F0,3
51310900F0,1
51310902F0,6
51310904F0,16
51310905F0,2
51310909F0,1
51310913F0,12
51310957F0,4
51310957F0SN,5
51310967F0,6
51310973F0,1
51310974F0,1
51310975F0,10
51310976F0,3
51310977F0,6
51310979T0SN,1
558965,23
56160003,14
56160005,13
56273,2
59286,1
59634,1
59636,7
59641,1
59715,1
59927,1
59963,1
59968,4
59988,7
627150,6
7897055EN,7
7897055TR,7
7897069EN,2
7897143EN,4
7897171EN,1
7897174EN,2
8066698,2
855293,14
855332,15
855869SN,3
859402,4
859403,4
859422,3
859422SN,1
859423,5
859423SN,1
859424SN,1
859427SN,1
859430,35
859441,5
859450,13
859456,9
859489,1
859534,2
859542,2
859606T0SN,2
859694,4
859764,24
87000,10
87004R06,14
87007,5
87008,3
87011,5
87015,9
87031,2
87035,3
87063,3
87145,2
87170,2
87171,2
87191,5
87194,2
87262,17
87340,2
87352,3
87370,1
87722,16
87723,3
87728,10
87790,53
877942F,3
87995,1
88606,31
88613,3
88622,30
886661,1
88673,1
88701,8
88717,12
887191HF,7
887191HM,9
88725,41
88726,193
88796,4
88798,9
888407,1
888493,1
888494,1
88882,1
889705AD,3
889705AE,1
889705AH,3
889705AJ,4
889705AM,18
889705BH,3
889705BJ,3
889705BM,10
889772AB,3
889772AH,2
89478,4
A9A15310,1
A9A26904,5
A9A26909,26
A9F74206,4
A9F84202,14
A9F84203,4
A9F84204,1
A9F84206,2
A9F84401,10
A9F84402,7
A9F94202,1
A9N26904,22
A9N26907,10
A9N26909,6
A9N61522,33
A9N61523,2
A9N61524,2
A9N61525,4
A9N61526,8
A9N61528,1
A9N61531,6
A9N61534,1
A9V41225,4
AAA12703F0,1
AAA12731F0,15
AAA12734F0,4
AAA12737F0,3
AAA12772F0,3
AAA12773F0,3
AAA12774F0,8
AAA12775F0,12
AAA12861F0,6
AAA12972F0-K,11
AAA12973F0,4
AAA12974F0-K,2
AAA12975F0-K,5
AAA12976F0,18
AAA12976F0-K,12
AAA13034F0-K,14
AAA13036F0-K,14
AAA13106F0,9
AAA13118F0,1
AAA20033F0,9
AAA20111F0,1
AAM17477F0,1
AAS10003T0,2
AAS10003T0SN,3
AAS10009T0,6
AAS10016T0SN,2
AAS10028T0,8
AAS10040T0SN,1
AAS10044T0SN,1
AAS10046T0,1
AAS10066T0,2
AAS10073T0,8
AAS10073T0SN,6
AAS10087T0,2
AAS10099T0,1
AAS10123T0,3
AAS10311T0,4
AAS10312T0,1
AAS10490T0,2
AAS10571T0,6
AAS10572T0,3
AAS10573T0,1
AAS10649T0,1
AAS10675T0R07,1
AAS10676T0R07,1
AAS10679T0,1
AAS10681T0R07,1
AAS10682T0R07,2
AAS10683T0R07,1
AAS10684T0R07,2
AAS10685T0R07,1
AAS10697T0R07,4
AAS10698T0,9
AAS10699T0R07,1
AAS10700T0,1
AAS10714T0,1
AAS10715T0,1
AAS10716T0,1
AAS10718T0,1
AAS10724T0,22
AAS10733T0AG,1
AAS10733T0SN,2
AAS10737T0,2
AAS10738T0,3
AAS10820T0,4
AAS10870T0,1
AAS10881T0R07,1
AAS10886T0,10
AAS10887T0,1
AAS10891T0,3
AAS10896T0R07,1
AAS10897T0,1
AAS10898T0,1
AAS10909T0,2
AAS10921T0,1
AAS10923T0,11
AAS10924T0,11
AAS10925T0,6
AAS30113TA,1
AAS30113TASN,1
AAS30113TCSN,1
AAS30114TCSN,1
AAS40373T0,1
AAS40651T0SN,4
AAS40652T0,3
AAS40653T0SN,1
AAS40654T0SN,4
AAS40656T0SN,3
AAS41481TA,4
AAS41482T0,1
AAS41483TA,1
AAS41484T0,4
AAS41485T0,1
AAS41512T0,1
AAS41517TC,5
AAS41518TA,3
AAS41518TB,1
AAS41518TC,2
AAS41583T0,2
AAS41584T0,1
AAS41586T0,1
AAS41588T0,2
AAS41589TA,6
AAS41589TB,7
AAS41592T0,2
AAS41625T0,1
AAS41626T0,1
AAS41727TA,4
AAS41727TB,4
AAS41907T0,2
AAS42036T0,2
AAS42164T0,2
AAS42165TBSN,2
AAS42165TDSN,1
AAS42371T0,1
AAS42376T0,1
AAS42385T0,3
AAS49802T0,4
AAS49804T0,1
AAS49831T0,5
AAS49901T0,7
AAV17870,2
AAV17874,3
AAV31138,6
AAV36546R12,1
AAV36546S07,1
AAV36551R14,3
AAV36551S07,1
AAV43538,35
AAV43632,9
AAV43635,7
AAV49636,29
AAV55545,31
AAV55931,3
AAV60690,7
AAV80205,1
ABL6TS06U,2
ABL6TS16U,2
ACTPC6ASFLS30WE,16
AEMOK05B55E511,1
AEMSO05B55E521,2
AGSC74270-10,1
AGSC74448-01,1
AGSC74448-02,1
AMB00194,39
AMB00512,4
AMB00525,1
AMPERMETRE617,1
AMT000334-02,11
AMT010123-01,1
AMT010123-02,1
AMT010123-04,1
AMT010123-12,1
AMT010123-14,1
AMT010123-24,2
AMT204220-01,2
AMTH06894-05,1
AMTH06894-14,1
AMTH06894-19,2
AMTH06894-23,1
AMTH06894-33,1
BBV15648,1
BBV18095,1
BBV19619,1
BBV23781,14
BBV27844,1
BBV34232,1
