material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
03811061N0,G-09-01-L3,G,9,3,1,7
03812736N0,D-02-02-L8,D,2,8,1,84
03814388N0-N,U-02-02-L5,U,2,5,1,2
03814399N0-N,F-10-02-L6,F,10,6,1,3
03814402N0-N,E-06-02-L1,E,6,1,0,10
03815808N0-N,A-06-01-L6,A,6,6,1,2
03815811N0-N,J-18-01-L2,J,18,2,0,3
03815813N0-N,E-08-01-L6,E,8,6,1,4
03816489N0,H-11-01-L3,H,11,3,1,6
03816490N0-N,A-02-03-L5,A,2,5,1,11
03816491N0-N,A-02-01-L1,A,2,1,0,12
03816492N0-N,F-09-01-L7,F,9,7,1,6
03816493N0-N,C-08-02-L4,C,8,4,1,24
03816494N0-N,D-03-02-L6,D,3,6,1,17
03816495N0-N,C-09-02-L0,C,9,0,0,23
03816496N0,U-03-02-L3,U,3,3,1,0
03816496N0-N,E-05-01-L8,E,5,8,1,16
03817244N0,A-08-02-L6,A,8,6,1,1
1022025N,I-05-02-L3,I,5,3,1,0
11845604,I-03-02-L2,I,3,2,0,0
11845606Z,G-02-01-L2,G,2,2,0,0
1277066SNRYC,H-10-02-L3,H,10,3,1,9
1277504,F-07-02-L7,F,7,7,1,13
1350150120,B-01-02-L5,B,1,5,1,0
17422411Z,F-05-02-L4,F,5,4,1,0
17426018,J-05-02-L6,J,5,6,1,0
17426022,I-02-01-L5,I,2,5,1,0
1781757,J-01-03-L7,J,1,7,1,0
1946501,F-06-02-L2,F,6,2,0,16
1949754,H-06-01-L5,H,6,5,1,160
1949764,H-06-03-L4,H,6,4,1,160
1949765,H-06-02-L5,H,6,5,1,160
1949771,C-07-03-L3,C,7,3,1,25
1949773,C-07-01-L4,C,7,4,1,25
1949775,C-07-02-L4,C,7,4,1,25
1949777,C-09-01-L8,C,9,8,1,21
1949779SN,B-01-02-L7,B,1,7,1,72
1949785SN,C-06-01-L3,C,6,3,1,26
1949801,J-11-01-L0,J,11,0,0,16
1949869,A-07-03-L7,A,7,7,1,2
1949870,A-07-01-L8,A,7,8,1,2
1949871,A-07-02-L8,A,7,8,1,2
1MRK002136-B,H-11-02-L3,H,11,3,1,0
1MRK002136-E,F-07-01-L1,F,7,1,0,0
1SNA166875R2300,D-10-01-L6,D,10,6,1,1
21167100,I-02-03-L2,I,2,2,0,0
21186059,G-01-01-L3,G,1,3,1,0
21213320,G-01-02-L0,G,1,0,0,0
21231324,J-05-01-L7,J,5,7,1,0
21285212,J-03-01-L4,J,3,4,1,0
21431228Z,H-05-02-L6,H,5,6,1,0
21528185,G-01-03-L0,G,1,0,0,0
21528195,G-01-02-L3,G,1,3,1,0
23STFILM,F-01-03-L1,F,1,1,0,0
25222143,E-03-03-L5,E,3,5,1,0
25222348,E-03-01-L6,E,3,6,1,0
25222770,H-03-02-L1,H,3,1,0,0
25262316,H-01-01-L0,H,1,0,0,0
25262336,H-03-01-L2,H,3,2,0,0
25266303,F-03-01-L1,F,3,1,0,0
25266304,F-03-02-L1,F,3,1,0,0
25266305,F-03-01-L5,F,3,5,1,0
25268014,C-11-01-L2,C,11,2,0,20
26326007,E-08-01-L1,E,8,1,0,4
26326007-120V,U-01-01-L4,U,1,4,1,0
3052076,D-05-01-L7,D,5,7,1,9
3052077,H-07-02-L7,H,7,7,1,90
3116725,I-03-02-L4,I,3,4,1,0
3401405F0,F-01-02-L5,F,1,5,1,522
3402403F0,I-02-02-L5,I,2,5,1,0
