material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
03811061N0,G-01-01-L7,G,1,7,1,21
03812736N0,I-05-01-L3,I,5,3,1,84
03814388N0-N,D-04-03-L7,D,4,7,1,6
03814399N0-N,B-11-01-L7,B,11,7,1,9
03814402N0-N,C-03-02-L5,C,3,5,1,30
03815808N0-N,G-05-02-L8,G,5,8,1,4
03815811N0-N,J-14-01-L5,J,14,5,1,6
03815813N0-N,J-14-02-L5,J,14,5,1,4
03816489N0,I-09-01-L7,I,9,7,1,6
03816490N0-N,J-01-03-L5,J,1,5,1,11
03816491N0-N,J-08-02-L6,J,8,6,1,12
03816492N0-N,J-08-03-L6,J,8,6,1,6
03816493N0-N,D-06-01-L3,D,6,3,1,24
03816494N0-N,G-08-02-L5,G,8,5,1,17
03816495N0-N,G-04-01-L6,G,4,6,1,23
03816496N0,G-04-02-L4,G,4,4,1,0
03816496N0-N,J-03-02-L6,J,3,6,1,16
03817244N0,G-02-03-L6,G,2,6,1,3
1022025N,H-10-01-L6,H,10,6,1,0
11845604,U-01-01-L2,U,1,2,0,0
11845606Z,I-09-01-L6,I,9,6,1,0
1277066SNRYC,G-04-01-L7,G,4,7,1,27
1277504,J-07-03-L4,J,7,4,1,13
1350150120,G-11-02-L6,G,11,6,1,0
17422411Z,E-08-01-L6,E,8,6,1,0
17426018,U-01-02-L1,U,1,1,0,0
17426022,J-18-01-L1,J,18,1,0,0
1781757,J-15-01-L2,J,15,2,0,0
1946501,C-08-03-L6,C,8,6,1,48
1949754,A-12-02-L1,A,12,1,0,160
1949764,A-12-01-L1,A,12,1,0,160
1949765,A-12-03-L1,A,12,1,0,160
1949771,I-10-02-L3,I,10,3,1,25
1949773,I-10-03-L3,I,10,3,1,25
1949775,G-09-01-L3,G,9,3,1,25
1949777,H-10-03-L3,H,10,3,1,32
1949779SN,G-08-03-L2,G,8,2,0,72
1949785SN,C-01-02-L5,C,1,5,1,26
1949801,D-06-02-L3,D,6,3,1,16
1949869,H-03-01-L1,H,3,1,0,2
1949870,H-03-02-L1,H,3,1,0,2
1949871,H-03-03-L1,H,3,1,0,2
1MRK002136-B,J-15-01-L5,J,15,5,1,0
1MRK002136-E,A-07-03-L5,A,7,5,1,0
1SNA166875R2300,C-04-02-L5,C,4,5,1,2
21167100,J-18-01-L0,J,18,0,0,0
21186059,C-12-02-L6,C,12,6,1,0
21213320,C-11-02-L6,C,11,6,1,0
21231324,A-03-03-L4,A,3,4,1,0
21285212,B-05-01-L0,B,5,0,0,0
21431228Z,D-11-01-L4,D,11,4,1,0
21528185,C-12-01-L6,C,12,6,1,0
21528195,E-04-01-L6,E,4,6,1,0
23STFILM,C-01-03-L0,C,1,0,0,0
25222143,J-14-01-L6,J,14,6,1,0
25222348,J-14-02-L6,J,14,6,1,0
25222770,J-11-01-L6,J,11,6,1,0
25262316,D-01-02-L0,D,1,0,0,0
25262336,G-07-01-L6,G,7,6,1,0
25266303,G-09-01-L6,G,9,6,1,0
25266304,G-09-02-L6,G,9,6,1,0
25266305,E-03-01-L1,E,3,1,0,0
25268014,E-12-03-L5,E,12,5,1,118
26326007,J-18-02-L1,J,18,1,0,14
26326007-120V,B-10-01-L8,B,10,8,1,0
3052076,G-01-01-L4,G,1,4,1,9
3052077,G-11-03-L6,G,11,6,1,90
3116725,D-07-02-L4,D,7,4,1,0
3401405F0,F-11-03-L0,F,11,0,0,522
3402403F0,G-07-01-L4,G,7,4,1,0
3403899F0,G-12-02-L0,G,12,0,0,0
3403900F0,G-12-03-L0,G,12,0,0,0
3403904F0,D-06-03-L3,D,6,3,1,16
3403910F0,D-10-01-L1,D,10,1,0,173
3403913F0,E-06-02-L1,E,6,1,0,351
3403914F0,D-01-01-L3,D,1,3,1,70
3403915F0,C-04-02-L0,C,4,0,0,60
3403917F0,D-08-02-L5,D,8,5,1,31
3403918F0,J-07-03-L5,J,7,5,1,18
3403925F0,E-06-03-L1,E,6,1,0,0
3403929F0,B-02-02-L3,B,2,3,1,51
3403933F0,E-10-03-L1,E,10,1,0,299
340393501,I-10-02-L0,I,10,0,0,0
3403939F0,F-11-03-L1,F,11,1,0,176
3403940F0,H-04-01-L6,H,4,6,1,5
3403941T0,E-04-01-L1,E,4,1,0,0
3403941T0AG,G-04-02-L7,G,4,7,1,12
3403941T0SN,B-01-01-L1,B,1,1,0,198
3403949F0,A-09-03-L1,A,9,1,0,136
3403950F0,B-04-03-L6,B,4,6,1,3
3403963F0,F-11-01-L5,F,11,5,1,13
3403966F0,G-12-02-L1,G,12,1,0,177
3403978F0,A-06-01-L0,A,6,0,0,502
3403979F0,F-11-02-L0,F,11,0,0,502
3403981F0,E-09-03-L4,E,9,4,1,1326
3403982F0,G-03-01-L2,G,3,2,0,171
3403984F0,A-06-02-L1,A,6,1,0,185
3403985F0,A-06-03-L1,A,6,1,0,185
3403986F0,I-01-01-L2,I,1,2,0,160
3403987F0,G-09-02-L3,G,9,3,1,25
3403988F0,B-08-03-L1,B,8,1,0,320
3403989F0,B-02-03-L3,B,2,3,1,48
3403991F0,B-10-02-L8,B,10,8,1,21
3403992F0,B-07-02-L0,B,7,0,0,6
3404000F0,E-05-01-L0,E,5,0,0,632
3404001F0,J-04-02-L3,J,4,3,1,76
3404004F0,F-10-03-L4,F,10,4,1,1642
3404005F0,A-12-01-L2,A,12,2,0,82
3404006F0,E-07-03-L4,E,7,4,1,2337
3404012F0,C-01-02-L1,C,1,1,0,299
3404013F0,B-09-02-L3,B,9,3,1,42
3404042F0,B-07-01-L3,B,7,3,1,43
3404043F0,D-07-02-L3,D,7,3,1,15
3404044F0,E-06-03-L2,E,6,2,0,136
3404045F0,G-01-02-L4,G,1,4,1,6
3404046F0,D-01-02-L3,D,1,3,1,39
3404047F0,G-04-02-L6,G,4,6,1,6
3404075F0,C-05-02-L3,C,5,3,1,38
3404076F0,B-04-01-L2,B,4,2,0,116
3404079F0,C-10-02-L1,C,10,1,0,314
3404080F0,U-06-01-L3,U,6,3,1,18
3404082F0,A-08-02-L1,A,8,1,0,196
3404083F0,A-03-03-L0,A,3,0,0,598
3404097F0,G-01-03-L1,G,1,1,0,407
3404098F0,E-07-01-L3,E,7,3,1,39
3404102F0SN,G-04-01-L1,G,4,1,0,324
3404106F0SN,G-05-03-L8,G,5,8,1,6
3404142F0,F-09-01-L3,F,9,3,1,17
3404143F0,F-09-02-L3,F,9,3,1,17
3404186FPR12,E-03-01-L8,E,3,8,1,8
3404190F0AG,H-07-01-L7,H,7,7,1,10
3404190F0SN,E-03-02-L8,E,3,8,1,4
3404190T0SN,A-08-03-L0,A,8,0,0,364
3404249F0,A-06-01-L4,A,6,4,1,1268
3404251F0,A-10-01-L0,A,10,0,0,451
3404258F0,D-01-02-L1,D,1,1,0,358
3404270FBR07,A-04-02-L1,A,4,1,0,202
3404270FPR12,E-08-03-L8,E,8,8,1,4
3404272F0,D-05-01-L2,D,5,2,0,90
3404273F0,H-03-01-L2,H,3,2,0,10
3404308F0,E-11-02-L1,E,11,1,0,179
3404312F0,F-08-02-L1,F,8,1,0,215
3404313FPR12,D-07-01-L8,D,7,8,1,4
3404314FBR14,D-07-02-L8,D,7,8,1,2
3404314FPR12,D-07-03-L8,D,7,8,1,4
3404315FBR14,G-11-01-L8,G,11,8,1,2
3404315FPR12,G-11-02-L8,G,11,8,1,4
3404316FPR12,G-11-03-L8,G,11,8,1,4
3404317FPR12,F-10-01-L8,F,10,8,1,2
3404318FPR12,F-10-02-L8,F,10,8,1,2
3404352F0,A-05-01-L5,A,5,5,1,15
3404354F0,F-03-01-L1,F,3,1,0,309
3404355F0,B-07-03-L5,B,7,5,1,89
3404356F0,A-02-02-L0,A,2,0,0,514
3404357F0,F-01-02-L3,F,1,3,1,54
3404438FPR12,E-03-03-L8,E,3,8,1,8
3404440FBR07,D-01-03-L1,D,1,1,0,348
3404440FPR12,D-02-01-L8,D,2,8,1,8
3404462F0,F-01-01-L1,F,1,1,0,398
3404463F0,F-01-02-L1,F,1,1,0,398
3404464F0,C-06-02-L0,C,6,0,0,788
3404467F0,I-05-02-L1,I,5,1,0,385
3404468F0,A-12-02-L0,A,12,0,0,411
3404470F0,F-01-03-L1,F,1,1,0,398
3404473F0,I-04-01-L1,I,4,1,0,398
3404474F0,G-01-02-L1,G,1,1,0,398
3404708F0,E-09-01-L0,E,9,0,0,451
3404709F0,F-11-01-L0,F,11,0,0,451
3404717FBR07,E-09-03-L1,E,9,1,0,172
3404717FBR14,F-10-03-L8,F,10,8,1,2
3404718FBR07,D-08-01-L1,D,8,1,0,170
3404718FBR14,A-05-01-L8,A,5,8,1,2
3404719F0,G-09-01-L2,G,9,2,0,80
3404720F0,G-09-02-L2,G,9,2,0,89
3404721F0,I-11-01-L2,I,11,2,0,78
3404722F0,H-03-02-L2,H,3,2,0,11
3404725F0,I-11-02-L2,I,11,2,0,53
3404726F0,G-09-03-L2,G,9,2,0,53
3404729F0,I-11-03-L2,I,11,2,0,53
3404730F0,E-09-03-L2,E,9,2,0,34
3404731F0,A-08-03-L1,A,8,1,0,106
3404732F0,D-07-02-L2,D,7,2,0,39
3404733F0,A-04-01-L2,A,4,2,0,39
3404734F0,A-03-01-L2,A,3,2,0,67
3404735F0,A-03-02-L2,A,3,2,0,67
3404752F0,G-09-03-L3,G,9,3,1,53
3404756F0,J-03-03-L6,J,3,6,1,19
3404790F0,F-02-01-L2,F,2,2,0,306
3404791F0,A-03-03-L2,A,3,2,0,89
3405054F0,F-02-01-L5,F,2,5,1,378
3405054T0,G-10-03-L1,G,10,1,0,118
3405064F0-K,E-12-02-L1,E,12,1,0,201
3405075F0,G-02-02-L2,G,2,2,0,214
3405103F0,F-07-02-L4,F,7,4,1,0
3405107F0,B-02-02-L0,B,2,0,0,0
3405190F0,U-06-02-L3,U,6,3,1,40
3405192F0,H-04-02-L6,H,4,6,1,46
3405193F0,H-09-03-L3,H,9,3,1,48
3405195F0,G-04-03-L4,G,4,4,1,27
3405205F0,F-08-03-L0,F,8,0,0,0
3405209F0,F-03-03-L3,F,3,3,1,0
3405210F0,I-03-02-L2,I,3,2,0,0
3405211F0,I-03-03-L2,I,3,2,0,0
3405212F0,J-08-01-L3,J,8,3,1,0
3405214F0,J-08-02-L3,J,8,3,1,0
3405216F0,J-08-03-L3,J,8,3,1,0
3405220F0,G-04-01-L3,G,4,3,1,0
3405243F0,G-01-01-L2,G,1,2,0,0
3405261F0,D-08-02-L1,D,8,1,0,0
3405264F0,C-09-02-L2,C,9,2,0,0
3405265F0,C-09-03-L2,C,9,2,0,0
3405266F0,C-10-01-L2,C,10,2,0,0
3405267F0,C-10-02-L2,C,10,2,0,0
3405269F0,C-11-01-L2,C,11,2,0,0
3405270F0,D-04-02-L2,D,4,2,0,0
3405271F0,E-07-01-L2,E,7,2,0,0
3405273F0-K,C-06-01-L5,C,6,5,1,32
3405294F0,G-05-03-L7,G,5,7,1,15
3405296F0,C-11-02-L2,C,11,2,0,0
3405309F0-K,A-08-02-L4,A,8,4,1,0
3405310F0,E-12-01-L4,E,12,4,1,84
3405310F0-K,J-15-02-L5,J,15,5,1,0
3405311F0,D-10-03-L4,D,10,4,1,12
3405338F0,E-03-01-L7,E,3,7,1,15
3405341F0,H-09-01-L4,H,9,4,1,0
3405355F0-K,A-05-01-L6,A,5,6,1,0
3405356F0,D-02-02-L8,D,2,8,1,12
3405364F0,G-01-02-L2,G,1,2,0,0
3405366F0,E-07-02-L2,E,7,2,0,0
3405374F0,F-01-01-L5,F,1,5,1,0
3405375F0,U-11-01-L4,U,11,4,1,108
3405376F0,A-05-02-L8,A,5,8,1,0
3405383F0,A-05-03-L8,A,5,8,1,0
3405384F0,G-12-01-L8,G,12,8,1,0
3405387F0,U-11-02-L4,U,11,4,1,12
3405387F0-K,A-05-02-L6,A,5,6,1,0
3405388F0-K,A-05-03-L6,A,5,6,1,0
3405389F0,I-09-02-L7,I,9,7,1,12
3405390F0,C-07-02-L7,C,7,7,1,12
3405392F0,A-08-01-L1,A,8,1,0,405
3405397F0,H-04-03-L6,H,4,6,1,48
3405398F0,D-04-01-L3,D,4,3,1,48
3405412F0,F-05-01-L2,F,5,2,0,0
3405434T0S07,A-04-02-L2,A,4,2,0,0
3405435F0,C-03-02-L2,C,3,2,0,0
3405444T0R14,G-03-01-L4,G,3,4,1,0
3405445F0,J-03-01-L4,J,3,4,1,0
3405453T0R14,G-04-03-L6,G,4,6,1,0
3405454F0,J-03-02-L4,J,3,4,1,0
3405472F0,A-03-02-L0,A,3,0,0,0
3405473F0,B-08-02-L2,B,8,2,0,0
3405474F0,B-12-01-L2,B,12,2,0,0
3405544F0,U-06-02-L4,U,6,4,1,0
3405544F0-K,U-08-02-L4,U,8,4,1,186
3405583F0,G-05-03-L5,G,5,5,1,0
3405583F0-K,D-09-03-L6,D,9,6,1,51
3405584F0,B-01-03-L5,B,1,5,1,0
3405584F0-K,F-12-01-L6,F,12,6,1,51
3405585F0-K,I-11-03-L6,I,11,6,1,102
3405610F0,F-09-01-L1,F,9,1,0,0
3405611F0,F-09-02-L1,F,9,1,0,0
3405612F0,E-07-03-L2,E,7,2,0,0
3405613F0,D-06-01-L2,D,6,2,0,0
3405618F0,H-04-02-L3,H,4,3,1,0
3405619F0,H-04-03-L3,H,4,3,1,0
3405636F0,C-01-03-L2,C,1,2,0,0
3405638F0,J-03-03-L3,J,3,3,1,0
3405639F0,J-01-01-L3,J,1,3,1,0
3405640F0,C-04-02-L1,C,4,1,0,0
3405641F0,D-02-02-L2,D,2,2,0,0
3405701F0,A-02-01-L0,A,2,0,0,0
3405718F0,F-06-02-L0,F,6,0,0,0
3405719F0,D-09-02-L1,D,9,1,0,0
3405720F0,D-06-02-L2,D,6,2,0,0
3405735F0,E-06-03-L0,E,6,0,0,1
3405736F0,C-03-03-L1,C,3,1,0,1
