policy,replication,seed,avg_lead_time,avg_total_wait,reach_truck_utilization,throughput_orders_per_day,throughput_orders_per_hr,avg_op_queue_wait,avg_rt_queue_wait,avg_prep_time,p95_lead_time,avg_walk_distance,operator_utilization,kardex_utilization,orders_started,orders_completed,orders_total,orders_with_no_locations
Baseline (Heuristic),0,42,10.442618,6.141810,0.201489,374.974359,46.871795,6.139550,0.002260,4.303068,30.050884,105.874766,0.416170,0.085047,1935,1828,1866,0
Baseline (Heuristic),1,43,12.763211,8.535036,0.223633,429.948718,53.743590,8.534032,0.001004,4.229179,35.061406,105.362795,0.474113,0.097708,2168,2096,2168,0
Baseline (Heuristic),2,44,12.371394,8.363319,0.195402,392.205128,49.025641,8.362903,0.000417,4.008491,34.714117,100.593444,0.425511,0.092581,2080,1912,2045,0
Baseline (Heuristic),3,45,17.015111,12.832345,0.191196,369.025641,46.128205,12.831380,0.000966,4.183731,46.486661,103.365168,0.403709,0.086905,1858,1799,1858,0
Baseline (Heuristic),4,46,18.778677,14.428573,0.273987,492.102564,61.512821,14.426315,0.002258,4.352362,51.534221,105.252980,0.554991,0.113118,2524,2399,2472,0
Baseline (Heuristic),5,47,27.173677,23.058318,0.280051,558.974359,69.871795,23.056375,0.001943,4.117301,109.764137,102.232194,0.594448,0.124760,2764,2725,2764,0
Baseline (Heuristic),6,48,18.270884,14.135491,0.198990,391.589744,48.948718,14.133743,0.001748,4.137141,64.568698,102.333952,0.423315,0.087478,1983,1909,1978,0
Baseline (Heuristic),7,49,15.390795,11.212568,0.254788,488.615385,61.076923,11.211606,0.000963,4.179189,45.826550,103.250277,0.531977,0.108428,2455,2382,2455,0
Baseline (Heuristic),8,50,9.883243,5.860135,0.163840,337.025641,42.128205,5.859897,0.000238,4.023346,24.521786,99.921463,0.349744,0.074375,1663,1643,1663,0
Baseline (Heuristic),9,51,20.418811,16.422750,0.200515,423.794872,52.974359,16.421939,0.000811,3.996871,56.886586,99.928065,0.433822,0.092275,2081,2066,2081,0
Baseline (Heuristic),10,52,15.941574,11.636939,0.236944,440.410256,55.051282,11.634589,0.002349,4.306984,46.108999,103.845488,0.483036,0.099344,2157,2147,2156,0
Baseline (Heuristic),11,53,10.753183,6.488602,0.179204,340.102564,42.512821,6.487983,0.000619,4.265200,29.020237,104.274620,0.372909,0.080097,1683,1658,1683,0
Baseline (Heuristic),12,54,12.000995,7.954216,0.193906,387.076923,48.384615,7.952214,0.002003,4.048782,31.144794,100.786510,0.408415,0.084552,1922,1887,1921,0
Baseline (Heuristic),13,55,26.481532,22.402944,0.273563,564.102564,70.512821,22.401547,0.001398,4.079985,61.258732,102.125218,0.596640,0.126501,2797,2750,2797,0
Baseline (Heuristic),14,56,13.505926,9.410724,0.177104,378.666667,47.333333,9.409992,0.000732,4.095934,40.282655,106.315397,0.394251,0.073622,1849,1846,1849,0
Baseline (Heuristic),15,57,11.117339,7.159532,0.183667,385.435897,48.179487,7.158616,0.000916,3.958723,33.738336,99.461306,0.394865,0.083299,1945,1879,1928,0
Baseline (Heuristic),16,58,20.318458,16.197110,0.254437,510.564103,63.820513,16.196406,0.000703,4.122052,56.294280,105.517627,0.551637,0.107311,2570,2489,2569,0
Baseline (Heuristic),17,59,14.623336,10.405142,0.250763,469.948718,58.743590,10.403004,0.002138,4.220333,44.399858,101.947096,0.513741,0.112334,2330,2291,2330,0
Baseline (Heuristic),18,60,17.821209,13.579868,0.244767,454.974359,56.871795,13.578615,0.001253,4.242595,46.833246,102.379333,0.496044,0.105143,2269,2218,2247,0
Baseline (Heuristic),19,61,11.761691,7.565575,0.213175,412.512821,51.564103,7.564466,0.001108,4.197225,32.825887,103.280286,0.443911,0.094151,2055,2011,2037,0
Baseline (Actual SAP),0,42,9.962477,5.836043,0.191717,374.974359,46.871795,5.833739,0.002304,4.128738,27.344570,100.336348,0.399991,0.084999,1935,1828,1866,0
