material_id,position_id,rack,bay,level,needs_rt,zwm92_picks
03811061N0,G-07-01-L1,G,7,1,0,21
03812736N0,B-04-01-L3,B,4,3,1,84
03814388N0-N,A-04-02-L6,A,4,6,1,6
03814399N0-N,E-07-01-L0,E,7,0,0,9
03814402N0-N,C-10-01-L5,C,10,5,1,30
03815808N0-N,E-09-03-L0,E,9,0,0,4
03815811N0-N,A-04-03-L6,A,4,6,1,6
03815813N0-N,G-12-02-L8,G,12,8,1,4
03816489N0,A-04-01-L7,A,4,7,1,6
03816490N0-N,J-13-01-L1,J,13,1,0,11
03816491N0-N,G-09-02-L6,G,9,6,1,12
03816492N0-N,F-10-02-L5,F,10,5,1,6
03816493N0-N,D-03-01-L8,D,3,8,1,24
03816494N0-N,I-09-02-L4,I,9,4,1,17
03816495N0-N,F-06-02-L6,F,6,6,1,23
03816496N0,A-07-02-L3,A,7,3,1,0
03816496N0-N,E-06-01-L0,E,6,0,0,16
03817244N0,A-06-02-L0,A,6,0,0,3
1022025N,F-03-01-L4,F,3,4,1,0
11845604,I-03-01-L7,I,3,7,1,0
11845606Z,F-02-02-L1,F,2,1,0,0
1277066SNRYC,E-04-01-L8,E,4,8,1,27
1277504,F-08-02-L8,F,8,8,1,13
1350150120,B-06-02-L3,B,6,3,1,0
17422411Z,B-04-02-L6,B,4,6,1,0
17426018,J-04-02-L0,J,4,0,0,0
17426022,I-02-02-L5,I,2,5,1,0
1781757,I-02-01-L0,I,2,0,0,0
1946501,C-01-03-L6,C,1,6,1,48
1949754,G-05-01-L4,G,5,4,1,160
1949764,G-05-03-L3,G,5,3,1,160
1949765,G-05-02-L4,G,5,4,1,160
1949771,H-08-03-L7,H,8,7,1,25
1949773,D-03-01-L0,D,3,0,0,25
1949775,D-03-02-L0,D,3,0,0,25
1949777,C-09-02-L7,C,9,7,1,32
1949779SN,B-06-02-L5,B,6,5,1,72
1949785SN,I-08-01-L4,I,8,4,1,26
1949801,F-07-01-L4,F,7,4,1,16
1949869,A-08-01-L8,A,8,8,1,2
1949870,A-08-02-L8,A,8,8,1,2
1949871,A-08-03-L8,A,8,8,1,2
1MRK002136-B,A-04-02-L7,A,4,7,1,0
1MRK002136-E,F-08-02-L1,F,8,1,0,0
1SNA166875R2300,F-12-02-L8,F,12,8,1,2
21167100,I-02-01-L3,I,2,3,1,0
21186059,G-01-03-L8,G,1,8,1,0
21213320,G-01-02-L5,G,1,5,1,0
21231324,J-04-02-L1,J,4,1,0,0
21285212,J-03-01-L4,J,3,4,1,0
21431228Z,G-04-02-L6,G,4,6,1,0
21528185,G-01-03-L5,G,1,5,1,0
21528195,H-03-01-L0,H,3,0,0,0
23STFILM,J-06-02-L3,J,6,3,1,0
25222143,B-01-03-L3,B,1,3,1,0
25222348,B-01-01-L4,B,1,4,1,0
25222770,F-01-01-L2,F,1,2,0,0
25262316,H-01-01-L0,H,1,0,0,0
25262336,F-01-03-L2,F,1,2,0,0
25266303,I-06-01-L2,I,6,2,0,0
25266304,I-06-02-L2,I,6,2,0,0
