material_id,pick_count
03811061N0,1
03812736N0,1
03816491N0-N,1
03816493N0-N,1
03816495N0-N,1
03817244N0,1
1949754,8
1949764,8
1949765,6
1949771,1
1949773,1
1949775,3
1949777,1
1949779SN,4
1949785SN,1
1SNA167932R1500,2
1SNA167933R1600,5
21528254,2
25268014,2
25347326,1
26326007,2
3052077,5
3401405F0,21
3403910F0,11
3403913F0,5
3403914F0,4
3403917F0,4
3403918F0,3
3403933F0,8
3403939F0,17
3403941T0SN,5
3403949F0,7
3403963F0,1
3403966F0,6
3403978F0,22
3403979F0,26
3403981F0,19
3403982F0,2
3403984F0,10
3403985F0,6
3403986F0,10
3403988F0,6
3403989F0,2
3403991F0,1
3404000F0,22
3404001F0,4
3404004F0,18
3404005F0,8
3404006F0,20
3404012F0,13
3404013F0,3
3404042F0,2
3404043F0,1
3404044F0,3
3404046F0,1
3404075F0,2
3404076F0,1
3404079F0,13
3404082F0,3
3404083F0,18
3404097F0,18
3404098F0,1
3404100F0SN,3
3404102F0SN,6
3404142F0,1
3404143F0,2
3404186FBR07,6
3404190T0SN,6
3404249F0,10
3404251F0,13
3404258F0,8
3404270FBR07,4
3404272F0,5
3404308F0,10
3404312F0,7
3404317FPR12,1
3404354F0,3
3404355F0,1
3404361F0,2
3404438FBR07,4
3404440FBR07,3
3404440FPR12,1
3404462F0,19
3404463F0,23
3404464F0,19
3404467F0,24
3404468F0,19
3404470F0,13
3404473F0,19
3404474F0,16
3404708F0,17
3404709F0,20
3404717FBR07,10
3404718FBR07,9
3404719F0,5
3404720F0,8
3404721F0,8
3404725F0,5
3404726F0,5
3404729F0,5
3404730F0,1
3404731F0,1
3404732F0,1
3404733F0,2
3404734F0,4
3404735F0,3
3404752F0,2
3404756F0,1
3404790F0,2
3404791F0,7
3405054F0,31
3405054T0,11
3405064F0,9
3405064F0-K,10
3405075F0,4
3405190F0,1
3405195F0,1
3405241F0,1
3405338F0,2
3405387F0,2
3405389F0,1
3405397F0,1
3405544F0-K,6
3405583F0-K,2
3405584F0-K,3
3405585F0-K,2
3405599F0,10
3405811F0,3
3405812F0,1
3405813F0,6
3405936F0,3
3405947F0,2
3405966F0-KH,3
3405967F0,2
3405967F0-H,1
3405967F0-KH,2
3406042F0,1
3406200F0,4
3406201F0,4
3406222F1,19
3406222F1-K,10
3406399F0,9
3406836F0,2
3406840F0,3
3406841F0,3
3407033F0,1
3407034F0,3
3407353F0,3
3407633F0,1
3407646F0,9
3407837F0,5
3407838F0,6
3407839F0,3
3408077T0,3
3408078T0,1
3408079T0,2
3408491FA,2
3408493FA,2
3408512FA,2
3408513FA,2
3409198F0,2
3409199F0,3
35190523,1
3730092J,1
3730092L,2
3730303A,24
3730311A,10
3730314B,8
3730317B,2
3730320A,1
3730323A,4
3730340A,4
3730349A,2
3730350B,22
3730352B,5
3730356A,3
3730712,4
3731639,25
3731643,2
3735524,18
3735603,13
3735762,3
3736241,8
3736354,2
3736450,1
3931273,2
3931275,2
4690212,15
4690416,7
4690488,3
4690492,8
4690493,9
4690494,7
4690516,7
48536,1
50437,1
50438,3
50439,1
50441,6
51000029BCE,1
51000426,4
51000504,11
51000505,6
51000602,1
51000646,1
51000683,1
51000691S07,7
51000704,7
51000736,8
51000738,4
51000753,2
51000821,1
51000920,1
51000923EN,1
5100096101,1
51004137U41,1
51004391U8,2
51007512U13,2
51108708M0,10
51164028F0,23
51164089F0,2
51164090F0,9
51164098F0,28
51164108F0,3
51164109F0,24
51164181F0,14
51164195F0,2
51164196F0,1
51164289F0,8
51164407F0,8
51164417F0,10
51164483F0,32
51164500F0,5
51164508F0,10
51164543F0,12
51229055F0,23
51229172F0,1
51235002F0,4
51235003F0,5
51235004F0,7
51235005F1,1
51235006F1,1
51235027F0,4
51235028F0,5
51235029F0,4
51235030F0,8
51235034F0,6
51235035F0,7
51235042F0,15
51235047F0,2
51235048F0,4
51235071F0,8
51235072F0,27
51235073F0,5
51235076F0,3
51235077F0,3
51235078F0,2
51235082F0,7
51235083F0,32
51235084F0,4
51235085F0,4
51235086F0,3
51235087F0,2
51235122F0,4
51235197F0,2
51235199F0,31
51235217F0,8
51235218F0,6
51235219F0,2
51235220F0,5
51235221F0,5
51235222F0,10
51235223F0,3
51235224F0,3
51235225F0,3
51235226F0,1
51235229F0,1
51235238F0,3
51235271F0,43
51235272F0,31
51235467F0,6
51235469F0,3
51235489F0-K,7
51235567F0,20
51235571F0,3
51235575F0,5
51235585F0-K,4
51235631F0,12
51235632F0,27
51235644F1-K,1
51235645F1-K,4
51235662F0,1
51235675F0-K,5
51235682F0,22
51235684F0,24
51235685F0,2
51235687F0,5
51235769F0-K,1
51235771F0,2
51235772F0-K,1
51235773F0,3
51235822F0-K,6
51235823F0-K,5
51235844F0-K,1
51235867F0,2
51235874F0,14
51235903F0,3
51235945F0,3
51235946F0-K,2
51235952F0,15
51236027F0,4
51236072FA,6
51236075FA,2
51236076FA,4
51236118F0,1
51236124F0,2
51236125F0,1
51236143F0,2
51236179F0,13
51236180F0,22
51236202F0,1
51236329F0,26
51236335F0,5
51236428F0,1
51236453F0,4
51236533F0,2
51236548F0-K,7
51236549F0-K,3
51236667F0,1
51236795F0,1
51236845F0R14,1
51237088F0,1
51237092F0,3
51237093F0,1
51237262F0,28
51237263F0,8
51237264F0,3
51237368F0,24
51237369F0,9
51237370F0,4
51237374F0,1
51237376F0,1
51237392FA,5
51237423F0,1
51237608F0,1
51254370EN,6
51254559EN,1
51254561EN,2
51254778B,4
51254779B,4
51254780B,3
51256260,1
51256262,2
51256264,1
51256273,4
51256308,2
51256343,1
51256344,1
51256487-05,5
51256520,2
51256526,1
51256532,9
51256643,9
51256643SN,1
51256645,3
51256685,1
51256882,3
51257038,1
51257092S07,2
51257137,9
51257138,14
51257157,2
51257165,10
51257180,11
51257201,2
51257210,8
51257249,8
51257250,4
51257287,34
51257289,11
51257446,4
51257455,2
51257456,1
51257457,11
51257458,6
51257459,3
51257472,3
51257475,1
51257490,1
51257692A,9
51257942SN,1
51305441F0,1
51305792F0,4
51310546F0,2
51310590F0,22
51310591F0,2
51310599F0,2
51310623F0,7
51310655F0,21
51310657F0,1
51310662F0,6
51310663F0,5
51310664F0,3
51310666F0,1
51310669F0,2
51310671F0SN,10
51310673F0,26
51310678F0,25
51310681F0,2
51310682F0,1
51310685F0,13
51310686F0,11
51310694F0,21
51310697F0,8
51310698F0,2
51310700F0,2
51310704F0R07,4
51310710F0,7
51310713F0,3
51310718F0,26
51310724F0,2
51310725F0,2
51310791F0,19
51310807F0,2
51310809T0SN,2
51310811F0,2
51310812F0,2
51310813F0,5
51310841F0,4
51310854F0,31
51310855F0,18
51310856F0,3
51310857F0,1
51310857F0SN,4
51310860FA,4
51310861FA,2
51310862FA,1
51310862FD,1
51310863FA,2
51310863FD,1
51310863FESN,1
51310864FD,1
51310866FA,1
51310884F0,20
51310894F0,19
